Row.names	logFC_all	FDR_all	logFC_sens	FDR_sens	logFC_tol	FDR_tol	func
PGSC0003DMG400000079	2.08406646270199	2.25836871801749e-05	1.78091558528473	0.0470226126465486	2.41376226593711	0.00656692986902143	BCL-2-associated_athanogene_6
PGSC0003DMG400000110	1.01208005226254	0.00564262512417609	0.964076948225081	0.181590026778645	1.10778253901529	0.0564148531997396	Wax_synthase
PGSC0003DMG400000248	3.01156574752414	0.000596009813604792	3.10953734998598	0.0362227390247427	2.88934594212452	0.148594560670882	HB1
PGSC0003DMG400000350	1.81196479304853	3.26328391567805e-09	1.75458824029337	0.00440772834390315	1.87040087174541	0.00150935248988203	Zinc_finger_CCCH_domain-containing_protein_20
PGSC0003DMG400000444	2.13360065151374	0.000431598781599261	2.36993614853484	0.008536976398675	1.95658427408826	0.191343892077074	Heat_shock_cognate_70_kDa_protein
PGSC0003DMG400000491	0.904062428083298	0.0135857075033909	0.920540346549378	0.401326174217804	0.890172813375043	0.306419373398568	Phospholipid-transporting_ATPase
PGSC0003DMG400000513	1.38845365159699	0.0341450101575958	1.62661073742404	0.245404203994844	1.0953946101907	0.982314345915686	Stachyose_synthase
PGSC0003DMG400000718	0.882240173470228	0.00375604138186202	0.866537797319142	0.44526177328703	0.896672553147914	0.23724327660035	Conserved_gene_of_unknown_function
PGSC0003DMG400000985	1.41948502791193	0.0145832143542194	1.46186407417211	0.422658033799538	1.3993874657571	0.300980072415942	Conserved_gene_of_unknown_function
PGSC0003DMG400001181	1.50019778602782	0.00436607486100944	1.51520708420714	0.0916873371579778	1.47831167036182	0.444206336699529	ACI19
PGSC0003DMG400001182	0.561961461769787	0.0128387424498044	0.599481010996647	0.655579777243479	0.525961600121086	0.733685005406147	RING_zinc_finger_protein_1
PGSC0003DMG400001203	1.50118117854175	0.030907097973795	1.73156947736597	0.103982637603299	1.41674864564332	0.347435777328687	Gene_of_unknown_function
PGSC0003DMG400001390	0.751958622657305	0.0182366078072026	0.805887081869082	0.530474186386137	0.682560118960727	0.895430323988768	Gene_of_unknown_function
PGSC0003DMG400001416	1.83838257258241	0.00451461441442455	1.96452266694343	0.363449551236719	1.66940638923513	0.327487303905221	Protein_kinase_APK1B__chloroplast
PGSC0003DMG400001518	1.45626966400871	0.00705537301954588	1.35576405205372	0.358527867036946	1.55583300139922	0.300762387329823	Conserved_gene_of_unknown_function
PGSC0003DMG400001621	1.63183468569431	0.0296123994307031	1.67252878111563	0.632229748490747	1.58008132715929	0.456734598590918	Phospholipase_C
PGSC0003DMG400002296	1.00610798510076	0.0459224358606138	1.1185948456695	0.592842009974318	0.939876829622849	0.756454163937783	Gene_of_unknown_function
PGSC0003DMG400002312	2.93616734297685	0.00515356390284636	3.13063133452435	0.211782483136754	2.62656730732727	0.273161415684467	Photosystem_II_10_kDa_polypeptide__chloroplast
PGSC0003DMG400002344	2.02692617428377	0.00825360554978921	1.98723572981185	0.44526177328703	2.04246463549209	0.23724327660035	Conserved_gene_of_unknown_function
PGSC0003DMG400002724	2.95008347735655	0.00126653818602359	2.9720280110667	0.0466474577709251	2.92527104899217	0.23724327660035	Conserved_gene_of_unknown_function
PGSC0003DMG400002733	1.10134255788922	0.036159667719862	0.9762779919202	0.539840763173808	1.33187330726403	0.528111938906452	Gene_of_unknown_function
PGSC0003DMG400002928	2.16482346320146	0.0200191964995757	1.77883247168824	0.717669995117438	2.47091046643845	0.275177966889983	Small_molecular_heat_shock_protein
PGSC0003DMG400002987	2.41184937591524	0.000160575333408005	2.67555414345844	0.00362221916952955	2.24993247195614	0.148594560670882	DNAJ_protein
PGSC0003DMG400003084	2.10022293768604	0.0294791532846595	2.14924774308443	0.466133727692195	2.04118266318199	0.463729544792761	Two-component_response_regulator_ARR8
PGSC0003DMG400003218	0.695444901304958	0.0400163770560563	0.784661194314556	0.654072396619278	0.599796497676303	0.821414834568466	Pre-mRNA_splicing_factor
PGSC0003DMG400003219	5.54494965538276	9.06423928516066e-06	5.71773892482743	0.00708785595675994	5.30598127706287	0.00939968910545096	Small_heat_shock_protein__chloroplastic
PGSC0003DMG400003423	0.624821313029808	0.0300817991934153	0.58723540442622	0.920013069438169	0.658881134346184	0.763576410205586	Conserved_gene_of_unknown_function
PGSC0003DMG400003521	0.847507391847256	0.0110242789710281	1.02836310607877	0.119218570242378	0.659565873295941	0.920393140086247	Endo-beta-mannanase
PGSC0003DMG400003522	1.10747427491689	0.0273906051934797	1.07121665121127	0.789042226463289	1.16309493800684	0.171763962901911	Galactinol_synthase
PGSC0003DMG400003530	4.46905852770419	0.00802830430430948	4.88532140327148	0.0557630332584507	4.20056066300129	0.469544284303256	Abscisic_acid_and_environmental_stress-inducible_protein_TAS14
PGSC0003DMG400003531	1.39970821268083	0.0130504633141103	1.53301840832226	0.0914667107557874	1.14804595838271	0.630751706912515	Dhn1_protein
PGSC0003DMG400003625	0.867095633211619	0.048128545307057	1.05185019129228	0.513106751246982	0.702162668288494	0.863760918362665	COL_domain_class_transcription_factor
PGSC0003DMG400003751	0.630356705458403	0.048128545307057	0.716462183794634	0.670989290726743	0.559075569153451	0.895430323988768	Bel1_homeotic_protein
PGSC0003DMG400004276	0.817200662951092	0.0193976111283745	0.875670299171909	0.601694799267562	0.759314402280525	0.701332901219284	NADH_dehydrogenase
PGSC0003DMG400004421	1.60553724576842	0.033359224879257	1.60654629547302	0.646233166345364	1.6268348400336	0.513549408734077	Transferase__transferring_glycosyl_groups
PGSC0003DMG400004808	2.35029643967459	0.00328761300073954	2.33973891247278	0.0993297310441116	2.35685095450605	0.288319516125957	Mitochondrial_small_heat_shock_protein
PGSC0003DMG400005485	0.739202448470883	0.0394341084211954	0.738826499315125	0.918814844170087	0.739594648945542	0.661786257629941	Receptor-kinase
PGSC0003DMG400005573	2.67500825790198	0.000551186464035296	3.00398470984826	0.015269817336838	2.35467354283506	0.247293191448116	Heat_shock_protein_83
PGSC0003DMG400005585	1.25754315115654	0.0204005611057548	1.27490042196636	0.592842009974318	1.24188931551835	0.496924024910794	Gene_of_unknown_function
PGSC0003DMG400005702	1.20620811683407	0.0192674027969336	1.31619064210327	0.467299288731579	1.10395336172321	0.417618956041406	Conserved_gene_of_unknown_function
PGSC0003DMG400005877	0.754177154805177	0.00131363841902789	0.779667625408542	0.245404203994844	0.729785131850902	0.458864847833564	Gene_of_unknown_function
PGSC0003DMG400005988	2.90224632421343	0.0145832143542194	3.90582415462141	0.0557630332584507	2.21644834192828	0.756133538298282	Metal_ion_binding_protein
PGSC0003DMG400006083	0.868817556334398	0.00898443057695336	0.931481425096407	0.514545859976138	0.811266800265752	0.389161050941813	CBL-interacting_protein_kinase_20
PGSC0003DMG400006096	2.44247306178345	0.0165581794792396	2.30311512399004	0.498608953300125	2.60241237025951	0.399275873846638	Gene_of_unknown_function
PGSC0003DMG400006418	1.31006286885579	0.0298935349729103	0.949495086566986	0.97484757373797	1.54289691392933	0.300980072415942	Conserved_gene_of_unknown_function
PGSC0003DMG400006482	0.708297734912679	0.0247109720206575	0.645178487508786	0.864667221592365	0.757686155092857	0.61286451808879	APETALA2
PGSC0003DMG400006544	0.912632454145939	0.0453578725554731	0.990617719794744	0.847095721600502	0.847777002985305	0.801899659567851	Gene_of_unknown_function
PGSC0003DMG400006610	1.16521730353957	0.000437572442161222	1.31035059692902	0.0387535384996004	1.0344769198885	0.245581426161598	Receptor_serine-threonine_protein_kinase
PGSC0003DMG400006672	1.57664430760724	0.0188840638792151	1.59672101402993	0.187749232174804	1.55894656619605	0.657463339317359	Sucrose_synthase
PGSC0003DMG400006796	1.09159762953211	0.00403537929318374	1.14489083149253	0.137872422109022	1.04310022512248	0.456734598590918	Gene_of_unknown_function
PGSC0003DMG400006797	0.917798906597036	0.00159739301305618	0.991857071237228	0.094411038935357	0.853823166431702	0.43337925612077	Glutamate_malate_translocator
PGSC0003DMG400007128	0.744018700665989	0.0236341862660395	0.775954742595064	0.624587168657676	0.716524623026791	0.663964853125692	RNA_binding_protein
PGSC0003DMG400007141	0.90520038708373	0.0141084869126756	1.01897386352849	0.379215625974137	0.798588295314857	0.61286451808879	ABC_transporter_family_protein
PGSC0003DMG400007465	0.745006530509295	0.00240428454222934	0.660160698003666	0.604294115929068	0.843746869925477	0.23724327660035	White-brown-complex_ABC_transporter_family
PGSC0003DMG400007679	1.42612985668727	0.000636217183033951	1.55136009768353	0.08121238678847	1.30664662183204	0.171763962901911	Lipase
PGSC0003DMG400008043	1.14385463235659	0.0289772780236016	1.08305428660473	0.654072396619278	1.16975140665056	0.237275843283685	Gene_of_unknown_function
PGSC0003DMG400008148	2.39609750503138	0.000352412679289332	2.41885663471613	0.00826338182998235	2.37086972811809	0.177558725956805	YA3
