Row.names	logFC_field	logCPM_field	PValue_field	FDR_field	logFC_gh	logCPM_gh	PValue_gh	FDR_gh	logFC_mean	logFC_sum	func	BINCODE	NAME
PGSC0003DMG400000079	2.08406646270199	9.4213878803692	1.04853457503717e-08	2.25836871886757e-05	1.19245057202909	11.7461969803558	0.000581451109506	0.0173135776224563	1.63825851736554	3.27651703473108	BCL-2-associated_athanogene_6	20.2.1	stress.abiotic.heat
PGSC0003DMG400000444	2.13360065151374	5.88698746770372	5.34363577000142e-07	0.000431598781598302	1.19228495405716	7.94618335016933	0.000666643896614445	0.0189758569954812	1.66294280278545	3.3258856055709	Heat_shock_cognate_70_kDa_protein	20.2.1	stress.abiotic.heat
PGSC0003DMG400002928	2.16482346320146	2.4840403483192	0.000205257566833394	0.0200191964995317	2.81596271662687	4.52051790331418	3.02222879210655e-08	1.34676767863424e-05	2.49039308991416	4.98078617982833	Small_molecular_heat_shock_protein	20.2.1	stress.abiotic.heat
PGSC0003DMG400002987	2.41184937591524	4.19434246695489	1.49106554274679e-07	0.00016057533340764	1.17956778643988	5.37135080771228	0.0004366311765762	0.0143212809515082	1.79570858117756	3.59141716235512	DNAJ_protein	20.2.1	stress.abiotic.heat
PGSC0003DMG400003219	5.54494965538275	2.81672147316542	1.78593383683352e-09	9.06423928519533e-06	4.38146291332412	7.47503548807088	1.1302169374741e-07	3.35765367424778e-05	4.96320628435344	9.92641256870688	Small_heat_shock_protein__chloroplastic	20.2.1	stress.abiotic.heat
PGSC0003DMG400003423	0.624821313029806	2.77467088085332	0.000382918514843922	0.0300817991934833	0.634231330529358	3.61041522077251	9.15361883817618e-05	0.00480862667665653	0.629526321779582	1.25905264355916	Conserved_gene_of_unknown_function	27.3.67	RNA.regulation of transcription.putative transcription regulator
PGSC0003DMG400004808	2.35029643967459	4.7537317007072	1.48824081516627e-05	0.00328761300075107	1.26936626610413	6.14050974431665	0.000961830223530609	0.0245889851210407	1.80983135288936	3.61966270577873	Mitochondrial_small_heat_shock_protein	20.2.1	stress.abiotic.heat
PGSC0003DMG400005573	2.67500825790198	3.3357698540118	9.80986510326201e-07	0.000551186464041108	1.66319593188379	5.04101689550596	6.87505647567393e-05	0.00386288499283192	2.16910209489288	4.33820418978577	Heat_shock_protein_83	20.2.1	stress.abiotic.heat
PGSC0003DMG400007128	0.744018700665989	5.88141681899341	0.000265182775564573	0.0236341862663516	0.736136518965347	6.71349333713111	4.68450393176454e-08	1.80709983015502e-05	0.740077609815668	1.48015521963134	RNA_binding_protein	27.4	RNA.RNA binding
PGSC0003DMG400008187	2.65683565944955	4.24062820073673	2.21778739568708e-05	0.00434249492643395	1.633410820704	6.60058076038592	2.16501226950357e-05	0.00164925038710811	2.14512324007677	4.29024648015355	Class_II_small_heat_shock_protein_Le-HSP17_6	20.2.1	stress.abiotic.heat
PGSC0003DMG400009255	4.23853835387737	1.3454140795875	1.03398046715432e-05	0.00253413703571313	4.00886485648193	3.52655241984913	1.46343603998071e-08	8.69972300550268e-06	4.12370160517965	8.2474032103593	Small_heat-shock_protein_homolog_protein	20.2.1	stress.abiotic.heat
PGSC0003DMG400009509	1.89056285338274	5.03114199691725	6.04150723143605e-07	0.000437572442079661	1.85595760415122	6.48230785325129	4.51972299250705e-08	1.79718093022057e-05	1.87326022876698	3.74652045753396	Heat_shock_protein_83	20.2.1	stress.abiotic.heat
PGSC0003DMG400009690	1.5444341895173	1.20792258468631	1.18932085515235e-05	0.00272028201966971	1.10273173993327	1.48420289476458	0.00241528570837555	0.0466907063714842	1.32358296472529	2.64716592945058	Ankyrin_repeat-containing_protein	31.1	cell.organisation
PGSC0003DMG400011072	1.52081228966666	5.51285815149209	5.86054211447864e-06	0.00170192776955972	1.13478443074728	7.50707901912044	0.00167635304662648	0.0362872871382813	1.32779836020697	2.65559672041394	Ribulose_bisphosphate_carboxylase_oxygenase_activase_1__chloroplastic	1.3.13	PS.calvin cycle.rubisco interacting
PGSC0003DMG400011136	0.718280214496243	6.88074097995321	8.79926670339879e-05	0.0112032437052239	0.512106269908431	8.21910139666602	0.00148789806420788	0.0333870125717009	0.615193242202337	1.23038648440467	Ubiquitin_carboxyl-terminal_hydrolase	29.5.11.5	protein.degradation.ubiquitin.ubiquitin protease
PGSC0003DMG400011627	2.76358237842289	3.74661849914635	2.11503325503646e-05	0.00423760848912189	2.02561703646634	5.21457073742668	3.04393553646887e-05	0.00212058107481333	2.39459970744461	4.78919941488923	Chloroplast_small_heat_shock_protein_class_I	20.2.1	stress.abiotic.heat
PGSC0003DMG400011628	2.42322021321855	2.89823252378299	3.71931859955895e-05	0.00600809428276254	1.79421327772748	5.05013479898526	0.000120155964946461	0.00584849542374057	2.10871674547301	4.21743349094602	Chloroplast_small_heat_shock_protein_class_I	20.2.1	stress.abiotic.heat
PGSC0003DMG400011630	3.44440953983366	1.88894603015747	0.000264755201563916	0.0236341862663516	2.34295621136162	3.71225118117621	8.40656584254822e-06	0.000795883152990847	2.89368287559764	5.78736575119528	Chloroplast_small_heat_shock_protein_class_I	20.2.1	stress.abiotic.heat
PGSC0003DMG400011631	3.18886035254266	2.56448277097513	3.40251011280814e-05	0.00564262512417192	2.20686266998559	4.34631563545878	1.73503720923979e-05	0.00142814559586025	2.69786151126412	5.39572302252825	Chloroplast_small_heat_shock_protein_class_I	20.2.1	stress.abiotic.heat
PGSC0003DMG400011632	3.30792260215134	3.21725213913334	2.42877193558329e-05	0.00450635717780165	2.00516680538337	4.57492544030742	0.000565703718014598	0.0169816240369399	2.65654470376736	5.31308940753471	Chloroplast_small_heat_shock_protein_class_I	20.2.1	stress.abiotic.heat
